String;String;ConservationUnits
name;code;
CARPETA;CARPETA;
CAJA No.101;CAJA No.101;
CAJA No.102;CAJA No.102;
CAJA No.103;CAJA No.103;
CAJA No.104;CAJA No.104;
CAJA No.105;CAJA No.105;
CAJA No.106;CAJA No.106;
CAJA No.107;CAJA No.107;
CAJA No.108;CAJA No.108;
CAJA No.109;CAJA No.109;
CAJA No.110;CAJA No.110;
CAJA No.111;CAJA No.111;
CAJA No.112;CAJA No.112;
CAJA No.113;CAJA No.113;
CAJA No.114;CAJA No.114;
CAJA No.115;CAJA No.115;
CAJA No.116;CAJA No.116;
CAJA No.117;CAJA No.117;
CAJA No.118;CAJA No.118;
CAJA No.119;CAJA No.119;
CAJA No.120;CAJA No.120;
CAJA No.121;CAJA No.121;
CAJA No.122;CAJA No.122;
CAJA No.123;CAJA No.123;
CAJA No.124;CAJA No.124;
CAJA No.125;CAJA No.125;
CAJA No.126;CAJA No.126;
CAJA No.127;CAJA No.127;
CAJA No.128;CAJA No.128;
CAJA No.129;CAJA No.129;
CAJA No.130;CAJA No.130;
CAJA No.131;CAJA No.131;
CAJA No.132;CAJA No.132;
CAJA No.133;CAJA No.133;
CAJA No.134;CAJA No.134;
CAJA No.135;CAJA No.135;
CAJA No.136;CAJA No.136;
CAJA No.137;CAJA No.137;
CAJA No.138;CAJA No.138;
CAJA No.139;CAJA No.139;
CAJA No.140;CAJA No.140;
CAJA No.141;CAJA No.141;
CAJA No.142;CAJA No.142;
CAJA No.143;CAJA No.143;
CAJA No.144;CAJA No.144;
CAJA No.145;CAJA No.145;
CAJA No.146;CAJA No.146;
CAJA No.147;CAJA No.147;
CAJA No.148;CAJA No.148;
CAJA No.149;CAJA No.149;
CAJA No.150;CAJA No.150;
CAJA No.201;CAJA No.201;
CAJA No.202;CAJA No.202;
CAJA No.203;CAJA No.203;
CAJA No.204;CAJA No.204;
CAJA No.205;CAJA No.205;
CAJA No.206;CAJA No.206;
CAJA No.207;CAJA No.207;
CAJA No.208;CAJA No.208;
CAJA No.209;CAJA No.209;
CAJA No.210;CAJA No.210;
CAJA No.211;CAJA No.211;
CAJA No.212;CAJA No.212;
CAJA No.213;CAJA No.213;
CAJA No.214;CAJA No.214;
CAJA No.215;CAJA No.215;
CAJA No.216;CAJA No.216;
CAJA No.217;CAJA No.217;
CAJA No.218;CAJA No.218;
CAJA No.219;CAJA No.219;
CAJA No.220;CAJA No.220;
CAJA No.221;CAJA No.221;
CAJA No.222;CAJA No.222;
CAJA No.223;CAJA No.223;
CAJA No.224;CAJA No.224;
CAJA No.225;CAJA No.225;
CAJA No.226;CAJA No.226;
CAJA No.227;CAJA No.227;
CAJA No.228;CAJA No.228;
CAJA No.229;CAJA No.229;
CAJA No.230;CAJA No.230;
CAJA No.231;CAJA No.231;
CAJA No.232;CAJA No.232;
CAJA No.233;CAJA No.233;
CAJA No.234;CAJA No.234;
CAJA No.235;CAJA No.235;
CAJA No.236;CAJA No.236;
CAJA No.237;CAJA No.237;
CAJA No.238;CAJA No.238;
CAJA No.239;CAJA No.239;
CAJA No.240;CAJA No.240;
CAJA No.241;CAJA No.241;
CAJA No.242;CAJA No.242;
CAJA No.243;CAJA No.243;
CAJA No.244;CAJA No.244;
CAJA No.245;CAJA No.245;
CAJA No.246;CAJA No.246;
CAJA No.247;CAJA No.247;
CAJA No.248;CAJA No.248;
CAJA No.249;CAJA No.249;
CAJA No.250;CAJA No.250;
