String;String;DocumentalsUnits
name;code;
INFORME DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;F-GD-01;
INFORME VISITA HERMANO PROVINCIAL;F-GD-02;
MATRIZ DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;F-GD-03;
PLAN OPERATIVO ANUAL;F-GD-04;
INFORME DE  GESTIÓN O DESEMPEÑO DEL PROCESO;F-GD-05;
ACTA DE CONSEJO DIRECTIVO;N.A;
RESOLUCIONES DE RECTORÍA;N.A;
CIRCULARES DE RECTORÍA;N.A;
CRONOGRAMA DISTRITAL;N.A;
CRONOGRAMA INSTITUCIONAL;N.A;
EVALUACIÓN INSTITUCIONAL;N.A;
GUÍA DE AUTOEVALUACIÓN;N.A;
GUÍA PARA LA ENTREGA DE UNA OBRA LASALLISTA;N.A;
CARTA DE NOMBRAMIENTO DE RECTOR;N.A;
CONVENIOS INTERINSTITUCIONALES;N.A;
ACTAS - COMITÉ DE COORDINACIÓN;N.A;
GD - CORRESPONDENCIA ENVIADA;N.A;
GD - CIRCULARES EXTERNAS;N.A;
FORMULARIO DE INSCRIPCIÓN;F-AM-01;
REGISTRO DE RESULTADOS DE ADMISIÓN;F-AM-02;
HOJA DE MATRÍCULA;F-AM-04;
DEVOLUCIÓN DE DOCUMENTOS;F-AM-05;
AUTORIZACIÓN RETIRO DE ESTUDIANTES;F-AM-06;
LISTA DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;L-AM-01;
CONTRATO DE PRESTACIÓN DEL SERVICIO EDUCATIVO;N.A;
LISTADO DE ESTUDIANTES MATRICULADOS;N.A;
LISTADO DE ASPIRANTES INSCRITOS;N.A;
LISTADOS DE ASPIRANTES ADMITIDOS;N.A;
PAZ Y SALVO ESTUDIANTES;N.A;
LIBRO DE ACTAS DE GRADO;N.A;
AM - CORRESPONDENCIA ENVIADA;N.A;
AM - CIRCULARES;N.A;
HORARIO DE CLASES;F-GE-01;
REGISTRO DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;F-GE-03;
CONTROL DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;F-GE-04;
OBSERVADOR DEL ESTUDIANTE;F-GE-05;
PLAN DE CURSO;F-GE-06;
CONTROL DE ATENCIÓN PARA ORIENTACIÓN;F-GE-07;
AUTORIZACIÓN PARA ESTUDIANTES;F-GE-08;
CITACIÓN A PADRES DE FAMILIA;F-GE-10;
REMISIÓN DE ESTUDIANTES A ORIENTACIÓN;F-GE-11;
HISTORIA Y SEGUIMIENTO PSICOLOGÍA;F-GE-12;
PLAN DE ÁREA;L-GE-14;
PLAN DE ASIGNATURA;L-GE-04;
PROYECTO PEDAGÓGICO;L-GE-15;
COMPROMISO ACADÉMICO;L-GE-07;
COMPROMISO COMPORTAMENTAL;L-GE-08;
AUTO REGISTRO DE RETARDOS;L-GE-01;
CONTENIDOS PROGRAMATICOS;L-GE-02;
CONTROL DE CITACIONES A PADRES DE FAMILIA;L-GE-03;
REGISTRO DE NORMALIZACIÓN;L-GE-06;
CONTROL DE ASISTENCIA A ACTIVIDADES DE APOYO;L-GE-10;
EVALUACIÓN DE ACTIVIDADES D APOYO;L-GE-11;
INFORME PERIÓDICO DE PSICOLOGÍA A COORDINACIÓN;L-GE12;
CLAUSULA ESPECIAL DE MATRICULA;L-GE-09;
PROYECTOS DE AULA PRE-ESCOLAR;L-GE-16;
ACTAS (COMISIÓN DE EVALUACIÓN Y PROMOCIÓN);N.A;
ACTAS (CONSEJO ACADÉMICO);N.A;
ACTAS (REUNIÓN DE DEPARTAMENTO O ÁREA);N.A;
LIBRO DE CALIFICACIONES FINAL;N.A;
GE - CORRESPONDENCIA ENVIADA;N.A;
GE - CIRCULARES;N.A;
SOLICITUD DE PERSONAL;F-GT-01;
FORMATO DE ENTREVISTA;F-GT-02;
HOJA DE VIDA INSTITUCIONAL;F-GT-04;
REGISTRO DE INDUCCIÓN;F-GT-05;
EVALUACIÓN DE DESEMPEÑO;F-GT-06;
ENCUESTA DE CLIMA ORGANIZACIONAL;F-GT-09;
DECLARACIÓN DE COMPETENCIA;F-GT-10;
PLAN DE FORMACIÓN;F-GT-11;
SOLICITUD DE CAPACITACIÓN;F-GT-12;
PLAN DE BIENESTAR;F-GT-13;
SOLICITUD DE PERMISOS;F-GT-14;
SEGUIMIENTO Y ASISTENCIA A CAPACITACIÓN;F-GT-15;
ACTA DE DESCARGOS, CONCILIACIÓN O COMPROMISO;F-GT-16;
CONTRATO LABORAL;F-GT-04*;
INGRESO DE PERSONAL;F-GT-05*;
REGISTRO DE NOVEDADES;F-GT-08*;
RETIRO DE PERSONAL;F-GT-13*;
NÓMINA MENSUAL;F-GT15*;
CONTRATO INDIVIDUAL DE TRABAJO PARA PERSONAL DOCENTE AÑO ESCOLAR;F-GT19*;
PROTOCOLIZACIÓN DEL PERSONAL DOCENTE;N.A;
PAZ Y SALVO GENERAL;L-GT-02;
EVALUACIÓN DE DOCENTES(PREESCOLAR Y PRIMERO);L-GT-03;
ACTA DE REUNIÓN DE COPASST;N.A;
ACTAS DE COMITÉ DE CONVIVENCIA LABORAL;N.A;
DOCUMENTOS DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;N.A;
PLAN DE EMERGENCIAS;N.A;
PLAN DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL.;N.A;
LIQUIDACIONES DE PERSONAL;N.A;
GT - CORRESPONDENCIA ENVIADA;N.A;
GT - CIRCULARES;N.A;
EJECUCIÓN PRESUPUESTAL;F-GF-01*;
GF - REQUISICIÓN;F-GF-08*;
CARTERA ACTUALIZADA COLEGIOS;F-GF-17*;
CONCILIACIÓN CUENTA MOROSOS;F-GF-18*;
RESUMEN DE CARTERA MOROSA;F-GF-19*;
PLANILLA DIARIA DE VENTAS EN CAFETERÍA;L-GF-01;
COMPROBANTES DE EGRESO;N.A;
SOPORTES COMPROBANTES DE EGRESO;N.A;
GF - CORRESPONDENCIA ENVIADA;N.A;
GF - CIRCULARES;N.A;
SOLICITUD Y ENTREGA DE SUMINISTROS;F-GC-01;
COMPARATIVO DE OFERTAS;F-GC-02;
ORDEN DE COMPRA;F-GC-03;
DEVOLUCIÓN DE ARTÍCULOS;F-GC-04;
RELACIÓN DE FACTURAS POR PAGAR;F-GC-05;
INSCRIPCIÓN DE PROVEEDORES;F-GC-06;
EVALUACIÓN Y SELECCIÓN DE PROVEEDORES;F-GC-07;
LISTADO DE PROVEEDORES;F-GC-08;
REEVALUACIÓN DE PROVEEDORES;F-GC-09;
SOLICITUD DE COMPRAS;F-GC-13;
KÁRDEX DE ALMACÉN;F-GF-03*;
GC - REQUISICIÓN;F-GF-08*;
LISTADO DE INVENTARIO DE ACTIVOS Y RELACIÓN DE NOVEDADES;F-GF-09*;
EVALUACIÓN DEL SERVICIO DE COMPRAS Y SUMINISTROS;L-GC-01;
REGISTROS SOPORTES DE INSCRIPCIÓN Y EVALUACIÓN DE PROVEEDORES;N.A;
GC - CORRESPONDENCIA ENVIADA;N.A;
GC - CIRCULARES;N.A;
PLAN DE MANTENIMIENTO;F-SG-01;
PLAN CONTROL DE PLAGAS;F-SG-02;
SOLICITUD DE MANTENIMIENTO CORRECTIVO;F-SG-03;
PLANILLA DE ACTIVIDADES DE MANTENIMIENTO;F-SG-04;
HOJA DE VIDA DE EQUIPOS;F-SG-05;
CONTROL DE ASEO SEMANAL;L-SG-01;
CONTROL DE MANTENIMIENTO DE LA PISCINA;L-SG-02;
EVALUACIÓN DEL SERVICIO DE ASEO Y MANTENIMIENTO;L-SG-03;
REPORTE DE  DAÑOS;L-SG-04;
SG - CORRESPONDENCIA ENVIADA;N.A;
SG - CIRCULARES;N.A;
MATRIZ DE SERVICIOS COMPLEMENTARIOS;F-SC-01;
SOLICITUD DEL SERVICIO DE FOTOCOPIADO E IMPRESIÓN;L-SC-01;
SC - CORRESPONDENCIA ENVIADA;N.A;
SC - CIRCULARES;N.A;
RADICACIÓN Y DISTRIBUCIÓN DE CORRESPONDENCIA ENVIADA RECIBIDA;F-GI-01;
RADICACIÓN DE CORRESPONDENCIA ENVIADA ENVIADA;F-GI-02;
ENTRADA DE DOCUMENTOS AL ARCHIVO CENTRAL;F-GI-04;
DEPURACIÓN DE ARCHIVO;F-GI-05;
GI - CORRESPONDENCIA ENVIADA;N.A;
GI - CIRCULARES;N.A;
ELABORACIÓN, MODIFICACIÓN O ELIMINACIÓN DE DOCUMENTOS DEL SGC;F-GQ-01;
LISTADO MAESTRO DE DOCUMENTOS;F-GQ-03;
LISTADO MAESTRO DE REGISTROS;F-GQ-04;
PLAN DE AUDITORÍA INTERNA;F-GQ-05;
ACTA DE APERTURA Y CIERRE DE AUDITORÍA INTERNA;F-GQ-06;
LISTA DE CHEQUEO;F-GQ-07;
EVALUACIÓN DE GESTIÓN DE LA AUDITORÍA;F-GQ-08;
INFORME DE AUDITORÍA INTERNA;F-GQ-09;
CONTROL DEL SERVICIO NO CONFORME;F-GQ-10;
IMPLEMENTACIÓN DE ACCIONES CORRECTIVAS, PREVENTIVAS O DE MEJORA;F-GQ-11;
QUEJAS, SUGERENCIAS Y FELICITACIONES;F-GQ-12;
SEGUIMIENTO Y CONTROL DE QUEJAS, SUGERENCIAS Y FELICITACIONES;F-GQ-13;
COMPORTAMIENTO DE LOS INDICADORES DE GESTIÓN;F-GQ-14;
ENCUESTA DE SATISFACCIÓN DE PADRES DE FAMILIA Y ESTUDIANTES;F-GQ-15;
MATRIZ DE POSIBLES SERVICIOS NO CONFORMES;F-GQ-16;
PROGRAMA DE AUDITORIA;F-GQ-17;
INFORME DE RESULTADOS DE ENCUESTAS DE SATISFACCIÓN;N.A;
ACTA DE REUNIÓN DEL COMITÉ DE LA CALIDAD;N.A;
GQ - CORRESPONDENCIA ENVIADA;N.A;
GQ - CIRCULARES;N.A;
