macAddress;ipAddress
MXL3200LZ5;MXL3200LZ5
MXL3200LZP;MXL3200LZP
MXL3200M09;MXL3200M09
MXL3200LX1;MXL3200LX1
MXL3200LXY;MXL3200LXY
MXL3200LZR;MXL3200LZR
MXL3200LZL;MXL3200LZL
MXL3200LZT;MXL3200LZT
MXL3200M07;MXL3200M07
MXL3200LXX;MXL3200LXX
MXL3200LWN;MXL3200LWN
MXL3200M0B;MXL3200M0B
MXL3200LXV;MXL3200LXV
MXL3200M3K;MXL3200M3K
MXL3200LZM;MXL3200LZM
MXL3200LY5;MXL3200LY5
MXL3200LY1;MXL3200LY1
MXL3200LWR;MXL3200LWR
MXL3200LZD;MXL3200LZD
MXL3200LYB;MXL3200LYB
MXL3200LXT;MXL3200LXT
MXL3200LYS;MXL3200LYS
MXL3200LX7;MXL3200LX7
MXL3200LWJ;MXL3200LWJ
MXL3200LZQ;MXL3200LZQ
MXL3200LYY;MXL3200LYY
MXL3200LZ2;MXL3200LZ2
MXL3200LX9;MXL3200LX9
MXL3200LZC;MXL3200LZC
MXL3200LZK;MXL3200LZK
MXL3200LXJ;MXL3200LXJ
MXL3200LX5;MXL3200LX5
MXL3200LY3;MXL3200LY3
MXL3200LZG;MXL3200LZG
MXL3200LX2;MXL3200LX2
MXL3200LY8;MXL3200LY8
MXL3200LYJ;MXL3200LYJ
MXL3200LXD;MXL3200LXD
MXL3200LYD;MXL3200LYD
MXL3200LYW;MXL3200LYW
MXL3200LZW;MXL3200LZW
MXL3200LXF;MXL3200LXF
MXL3200M01;MXL3200M01
MXL3200LXQ;MXL3200LXQ
MXL3200LYH;MXL3200LYH
MXL3200LYK;MXL3200LYK
MXL3200LYQ;MXL3200LYQ
MXL3200LYR;MXL3200LYR
MXL3200LYM;MXL3200LYM
MXL3200LY2;MXL3200LY2
MXL3200LWM;MXL3200LWM
MXL3200LXL;MXL3200LXL
MXL3200M3J;MXL3200M3J
MXL3200LXZ;MXL3200LXZ
